num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
4596,2023,21,23,18:00 a 23:59,Noche,Mayo,Domingo,Guatemala,Mixco,11,Hombre,63,60-64,60 y más,60 - 64,Ignorado,Mayor,Motocicleta,Italika,Gris,Ignorado,Ignorado,Colisión,2023
4597,2023,21,15,12:00 a 17:59,Tarde,Mayo,Domingo,Guatemala,San Juan Sacatepéquez,Ignorado,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Camioneta,Honda,Corinto,Ignorado,Ignorado,Colisión,2023
4598,2023,21,15,12:00 a 17:59,Tarde,Mayo,Domingo,Guatemala,San Juan Sacatepéquez,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Moto taxi,Ignorado,Rojo,Ignorado,Ignorado,Colisión,2023
4599,2023,21,12,12:00 a 17:59,Tarde,Mayo,Domingo,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Hombre,53,50-54,50-54,50 - 54,Ignorado,Mayor,Motocicleta,Serpento,Negro,2017,2010-2019,Colisión,2023
4600,2023,21,12,12:00 a 17:59,Tarde,Mayo,Domingo,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Colisión,2023
4601,2023,21,3,00:00 a 05:59,Mañana,Mayo,Domingo,Escuintla,San José,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
4602,2023,21,20,18:00 a 23:59,Noche,Mayo,Domingo,Escuintla,Tiquisate,Ignorado,Hombre,32,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
4603,2023,21,16,12:00 a 17:59,Tarde,Mayo,Domingo,Escuintla,Escuintla,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
4604,2023,21,16,12:00 a 17:59,Tarde,Mayo,Domingo,Escuintla,Escuintla,Ignorado,Mujer,31,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisión,2023
4605,2023,21,17,12:00 a 17:59,Tarde,Mayo,Domingo,Santa Rosa,Santa Rosa de Lima,Ignorado,Mujer,28,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Kia,Gris,2012,2010-2019,Colisión,2023
4606,2023,21,17,12:00 a 17:59,Tarde,Mayo,Domingo,Santa Rosa,Santa Rosa de Lima,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Movesa,Ignorado,Ignorado,Ignorado,Colisión,2023
4607,2023,21,0,00:00 a 05:59,Mañana,Mayo,Domingo,Alta Verapaz,Chisec,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Suzuki,Ignorado,Ignorado,Ignorado,Choque,2023
4608,2023,21,10,06:00 a 11:59,Mañana,Mayo,Domingo,Alta Verapaz,Chisec,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Gris,Ignorado,Ignorado,Choque,2023
4609,2023,21,1,00:00 a 05:59,Mañana,Mayo,Domingo,Baja Verapaz,Purulhá,Ignorado,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Pick up,Toyota,Blanco,1988,1980-1989,Colisión,2023
4610,2023,21,1,00:00 a 05:59,Mañana,Mayo,Domingo,Baja Verapaz,Purulhá,Ignorado,Mujer,41,40-44,40-44,40 - 44,Ignorado,Mayor,Moto taxi,Bajaj,Rojo,2020,2020-2029,Colisión,2023
4611,2023,21,20,18:00 a 23:59,Noche,Mayo,Domingo,El Progreso,San Agustín Acasaguastlán,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Pick up,Chevrolet,Beige,1998,1990-1999,Colisión,2023
4612,2023,21,20,18:00 a 23:59,Noche,Mayo,Domingo,El Progreso,San Agustín Acasaguastlán,Ignorado,Hombre,26,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Asia Hero,Negro,Ignorado,Ignorado,Colisión,2023
4613,2023,21,17,12:00 a 17:59,Tarde,Mayo,Domingo,Petén,San Andrés,Ignorado,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Italika,Gris,Ignorado,Ignorado,Colisión,2023
4614,2023,21,17,12:00 a 17:59,Tarde,Mayo,Domingo,Petén,San Andrés,Ignorado,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
4615,2023,21,21,18:00 a 23:59,Noche,Mayo,Domingo,Sacatepéquez,San Lucas Sacatepéquez,Ignorado,Hombre,40,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Toyota,Verde,Ignorado,Ignorado,Colisión,2023
4616,2023,21,21,18:00 a 23:59,Noche,Mayo,Domingo,Sacatepéquez,San Lucas Sacatepéquez,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Panel,Mitsubishi,Blanco,Ignorado,Ignorado,Colisión,2023
4617,2023,22,16,12:00 a 17:59,Tarde,Mayo,Lunes,Guatemala,Guatemala,9,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Camioneta,Honda,Negro,2017,2010-2019,Colisión,2023
4618,2023,22,16,12:00 a 17:59,Tarde,Mayo,Lunes,Guatemala,Guatemala,9,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Asia Hero,Negro,2020,2020-2029,Colisión,2023
4619,2023,22,23,18:00 a 23:59,Noche,Mayo,Lunes,Guatemala,Guatemala,1,Hombre,44,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Honda,Azul,2007,2000-2009,Colisión,2023
4620,2023,22,23,18:00 a 23:59,Noche,Mayo,Lunes,Guatemala,Guatemala,1,Hombre,53,50-54,50-54,50 - 54,Ignorado,Mayor,Automóvil,Nissan,Blanco,2015,2010-2019,Colisión,2023
4621,2023,22,10,06:00 a 11:59,Mañana,Mayo,Lunes,Guatemala,Palencia,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,2020,2020-2029,Colisión,2023
4622,2023,22,10,06:00 a 11:59,Mañana,Mayo,Lunes,Guatemala,Palencia,Ignorado,Mujer,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Honda,Rojo,2020,2020-2029,Colisión,2023
4623,2023,22,0,00:00 a 05:59,Mañana,Mayo,Lunes,Guatemala,Chinautla,Ignorado,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
4624,2023,22,22,18:00 a 23:59,Noche,Mayo,Lunes,Guatemala,Guatemala,7,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Otros,Azul,2022,2020-2029,Colisión,2023
4625,2023,22,22,18:00 a 23:59,Noche,Mayo,Lunes,Guatemala,Guatemala,7,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Bajaj,Azul,2017,2010-2019,Colisión,2023
4626,2023,22,23,18:00 a 23:59,Noche,Mayo,Lunes,Guatemala,Guatemala,11,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
4627,2023,22,19,18:00 a 23:59,Noche,Mayo,Lunes,Guatemala,Villa Nueva,11,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Toyota,Ignorado,2019,2010-2019,Colisión,2023
4628,2023,22,19,18:00 a 23:59,Noche,Mayo,Lunes,Guatemala,Villa Nueva,11,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Hero Hunk,Ignorado,2023,2020-2029,Colisión,2023
4629,2023,22,12,12:00 a 17:59,Tarde,Mayo,Lunes,Guatemala,Mixco,4,Hombre,19,15-19,15-19,15 - 19,Ignorado,Mayor,Camioneta,Hyundai,Blanco,2005,2000-2009,Colisión,2023
4630,2023,22,12,12:00 a 17:59,Tarde,Mayo,Lunes,Guatemala,Mixco,4,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Italika,Azul,2021,2020-2029,Colisión,2023
4631,2023,22,16,12:00 a 17:59,Tarde,Mayo,Lunes,Guatemala,Mixco,1,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
4632,2023,22,16,12:00 a 17:59,Tarde,Mayo,Lunes,Guatemala,Mixco,1,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Hero Hunk,Negro,Ignorado,Ignorado,Colisión,2023
4633,2023,22,13,12:00 a 17:59,Tarde,Mayo,Lunes,Zacapa,Cabañas,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Suzuki,Azul,2023,2020-2029,Colisión,2023
4634,2023,22,7,06:00 a 11:59,Mañana,Mayo,Lunes,Escuintla,Palín,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,TVS Apache,Gris,2023,2020-2029,Colisión,2023
4635,2023,22,18,18:00 a 23:59,Noche,Mayo,Lunes,Escuintla,Escuintla,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Bus urbano,Internacional,Amarillo,Ignorado,Ignorado,Colisión,2023
4636,2023,22,6,06:00 a 11:59,Mañana,Mayo,Lunes,Santa Rosa,Barberena,Ignorado,Hombre,44,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Toyota,Azul,1987,1980-1989,Colisión,2023
4637,2023,22,6,06:00 a 11:59,Mañana,Mayo,Lunes,Santa Rosa,Barberena,Ignorado,Hombre,32,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,2023
4638,2023,22,8,06:00 a 11:59,Mañana,Mayo,Lunes,Alta Verapaz,Tamahú,Ignorado,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Toyota,Negro,1988,1980-1989,Derrape,2023
4639,2023,22,21,18:00 a 23:59,Noche,Mayo,Lunes,Alta Verapaz,Chisec,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Movesa,Negro,Ignorado,Ignorado,Colisión,2023
4640,2023,22,21,18:00 a 23:59,Noche,Mayo,Lunes,Alta Verapaz,Chisec,Ignorado,Hombre,15,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Hero Hunk,Negro,Ignorado,Ignorado,Colisión,2023
4641,2023,22,18,18:00 a 23:59,Noche,Mayo,Lunes,El Progreso,Guastatoya,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Italika,Verde,Ignorado,Ignorado,Colisión,2023
4642,2023,22,18,18:00 a 23:59,Noche,Mayo,Lunes,El Progreso,Guastatoya,Ignorado,Mujer,15,15-19,15-19,15 - 19,Ignorado,Menor,Cuatrimoto,Italika,Verde,2018,2010-2019,Colisión,2023
4643,2023,22,10,06:00 a 11:59,Mañana,Mayo,Lunes,Petén,San Andrés,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2023
4644,2023,22,23,18:00 a 23:59,Noche,Mayo,Lunes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,2023
4645,2023,22,23,18:00 a 23:59,Noche,Mayo,Lunes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Jialing,Rojo,Ignorado,Ignorado,Colisión,2023
4646,2023,23,12,12:00 a 17:59,Tarde,Mayo,Martes,Guatemala,Guatemala,13,Hombre,61,60-64,60 y más,60 - 64,Ignorado,Mayor,Cabezal,Freightliner,Azul,1995,1990-1999,Colisión,2023
4647,2023,23,12,12:00 a 17:59,Tarde,Mayo,Martes,Guatemala,Guatemala,13,Hombre,64,60-64,60 y más,60 - 64,Ignorado,Mayor,Panel,Mitsubishi,Blanco,2013,2010-2019,Colisión,2023
4648,2023,23,12,12:00 a 17:59,Tarde,Mayo,Martes,Guatemala,Guatemala,13,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
4649,2023,23,11,06:00 a 11:59,Mañana,Mayo,Martes,Guatemala,Guatemala,10,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
4650,2023,23,11,06:00 a 11:59,Mañana,Mayo,Martes,Guatemala,Guatemala,10,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Honda,Ignorado,Ignorado,Ignorado,Colisión,2023
4651,2023,23,23,18:00 a 23:59,Noche,Mayo,Martes,Guatemala,Santa Catarina Pinula,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Gris,Ignorado,Ignorado,Derrape,2023
4652,2023,23,22,18:00 a 23:59,Noche,Mayo,Martes,Guatemala,Petapa,Ignorado,Hombre,44,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Suzuki,Ignorado,Ignorado,Ignorado,Derrape,2023
4653,2023,23,8,06:00 a 11:59,Mañana,Mayo,Martes,Escuintla,San José,Ignorado,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2023
